Time stamp,Power,avg_temp
1677130893.0967655, 0.0, 42.25
1677130893.297076, 0.0, 39.75
1677130893.4973874, 0.0, 38.75
1677130893.697693, 0.0, 37.5
1677130893.8980005, 0.0, 39.0
1677130894.0983064, 4.763, 39.75
1677130894.298615, 4.763, 39.75
1677130894.4989188, 4.763, 38.75
1677130894.699224, 4.763, 38.75
1677130894.8995252, 4.763, 38.75
1677130895.09984, 4.695, 37.75
1677130895.3001432, 4.695, 37.75
1677130895.500468, 4.695, 42.25
1677130895.7009873, 4.695, 47.25
1677130895.9015534, 4.695, 50.25
1677130896.1019754, 9.149, 52.75
1677130896.3024995, 9.149, 54.25
1677130896.5030143, 9.149, 54.5
1677130896.7035708, 9.149, 55.75
1677130896.904114, 9.149, 56.0
1677130897.1046462, 10.5, 56.75
1677130897.3051789, 10.5, 57.75
1677130897.505727, 10.5, 57.25
1677130897.7064033, 10.5, 57.75
1677130897.9069211, 10.5, 58.25
1677130898.1074517, 10.672, 58.25
1677130898.3080235, 10.672, 58.75
1677130898.5085697, 10.672, 59.25
1677130898.709114, 10.672, 59.25
1677130898.9096391, 10.672, 60.0
1677130899.1101797, 10.672, 60.5
1677130899.3107123, 10.672, 60.0
1677130899.511264, 10.672, 61.0
1677130899.711699, 10.672, 61.5
1677130899.9120195, 10.672, 60.75
1677130900.112346, 10.672, 61.5
1677130900.3126814, 10.386, 61.75
1677130900.5131018, 10.386, 62.0
1677130900.7137527, 10.386, 62.25
1677130900.9144075, 10.386, 61.5
1677130901.1149406, 10.588, 61.5
1677130901.315472, 10.588, 62.0
1677130901.5159938, 10.588, 62.5
1677130901.7164342, 10.588, 62.75
1677130901.916758, 10.588, 62.25
1677130902.1170733, 10.947, 63.0
1677130902.3174677, 10.947, 63.75
1677130902.5178933, 10.947, 63.5
1677130902.7185152, 10.947, 63.5
1677130902.9190617, 10.947, 63.5
1677130903.1196122, 10.947, 63.75
1677130903.3200343, 10.817, 63.25
1677130903.5204728, 10.817, 64.25
1677130903.7210114, 10.817, 63.75
1677130903.9215395, 10.817, 63.5
1677130904.1222417, 10.504, 64.25
1677130904.322789, 10.504, 64.0
1677130904.5233269, 10.504, 63.5
1677130904.7238524, 10.504, 64.5
1677130904.9243965, 10.504, 64.0
1677130905.1249495, 10.851, 64.0
1677130905.3254995, 10.851, 63.75
1677130905.5260599, 10.851, 64.25
1677130905.7265973, 10.851, 64.25
1677130905.9272556, 10.851, 64.5
1677130906.1277921, 10.916, 64.5
1677130906.3283193, 10.916, 64.25
1677130906.5288634, 10.916, 65.25
1677130906.729384, 10.916, 65.75
1677130906.9299128, 10.916, 65.5
1677130907.1304429, 10.79, 65.0
1677130907.3309753, 10.79, 65.5
1677130907.5314927, 10.79, 65.5
1677130907.7320113, 10.79, 65.0
1677130907.932557, 10.79, 65.5
1677130908.1330814, 11.038, 64.5
1677130908.3336349, 11.038, 65.5
1677130908.5343406, 11.038, 64.75
1677130908.7348866, 11.038, 64.5
1677130908.9354413, 11.038, 65.0
1677130909.1359909, 10.416, 65.5
1677130909.3383095, 10.416, 65.75
1677130909.5388494, 10.416, 65.25
1677130909.7393641, 10.416, 66.0
1677130909.9398882, 10.416, 66.0
1677130910.1404343, 11.05, 65.75
1677130910.3409617, 11.05, 66.25
1677130910.5414774, 11.05, 66.25
1677130910.7419996, 11.05, 66.5
1677130910.9425476, 11.05, 66.5
1677130911.1430557, 10.874, 66.5
1677130911.3435411, 10.874, 66.25
1677130911.5440836, 10.874, 66.25
1677130911.744623, 10.874, 66.5
1677130911.9451404, 10.874, 66.75
1677130912.1456823, 10.55, 67.25
1677130912.346249, 10.55, 66.25
1677130912.5467484, 10.55, 66.5
1677130912.7473133, 10.55, 67.0
1677130912.9478538, 10.55, 67.0
1677130913.1483793, 11.176, 66.5
1677130913.348883, 11.176, 66.25
1677130913.549417, 11.176, 66.5
1677130913.749976, 11.176, 66.5
1677130913.9505403, 11.176, 66.75
1677130914.151074, 11.015, 67.0
1677130914.3515825, 11.015, 66.5
1677130914.5521214, 11.015, 66.75
1677130914.7526844, 11.015, 67.0
1677130914.9532447, 11.015, 67.25
1677130915.153772, 11.004, 67.0
1677130915.3542724, 11.004, 65.75
1677130915.5547988, 11.004, 66.5
1677130915.755359, 11.004, 66.25
1677130915.9558964, 11.004, 67.0
1677130916.1564455, 10.634, 67.25
1677130916.3569493, 10.634, 66.75
1677130916.5574749, 10.634, 66.75
1677130916.7579958, 10.634, 67.5
1677130916.9585037, 10.634, 67.0
1677130917.1590314, 10.87, 67.5
1677130917.359516, 10.87, 67.0
1677130917.5600514, 10.87, 67.5
1677130917.7605696, 10.87, 67.75
1677130917.961097, 10.87, 68.0
1677130918.1616318, 10.92, 67.25
1677130918.3621655, 10.92, 67.75
1677130918.562709, 10.92, 67.75
1677130918.7632778, 10.92, 67.75
1677130918.963917, 10.92, 67.5
1677130919.1644144, 11.206, 68.0
1677130919.3649297, 11.206, 68.0
1677130919.5654259, 11.206, 67.5
1677130919.7657523, 11.206, 67.5
1677130919.9660733, 10.466, 67.75
1677130920.16653, 10.466, 68.25
1677130920.3670707, 10.466, 67.75
1677130920.5676148, 10.466, 68.0
1677130920.7680378, 10.466, 67.25
1677130920.9684792, 10.466, 67.0
1677130921.1690392, 10.214, 68.25
1677130921.369463, 10.214, 66.75
1677130921.569985, 10.214, 68.25
1677130921.7705214, 10.214, 68.25
1677130921.9710069, 10.214, 68.25
1677130922.1712217, 11.115, 68.25
1677130922.3716676, 11.115, 68.0
1677130922.5722063, 11.115, 68.5
1677130922.7727501, 11.115, 68.5
1677130922.9733038, 11.115, 68.0
1677130923.1739628, 11.115, 68.75
1677130923.3744993, 10.947, 69.0
1677130923.5750322, 10.947, 67.5
1677130923.7755156, 10.947, 68.25
1677130923.9759278, 10.947, 68.25
1677130924.176458, 11.099, 68.75
1677130924.3769572, 11.099, 68.5
1677130924.5774572, 11.099, 67.5
1677130924.777986, 11.099, 68.5
1677130924.9785278, 11.099, 69.0
1677130925.1790643, 11.008, 69.0
1677130925.3796031, 11.008, 69.25
1677130925.5801167, 11.008, 69.0
1677130925.7806368, 11.008, 69.25
1677130925.9811735, 11.008, 69.0
1677130926.1817162, 11.088, 68.25
1677130926.3822443, 11.088, 69.0
1677130926.5827858, 11.088, 68.75
1677130926.7833455, 11.088, 69.0
1677130926.9838526, 11.088, 69.25
1677130927.184393, 11.088, 68.0
1677130927.384944, 10.943, 68.75
1677130927.5854757, 10.943, 68.25
1677130927.7859993, 10.943, 68.75
1677130927.9865105, 10.943, 69.0
1677130928.1870565, 11.069, 69.5
1677130928.3875587, 11.069, 69.25
1677130928.5881014, 11.069, 69.0
1677130928.7886415, 11.069, 69.25
1677130928.9891768, 11.206, 69.25
1677130929.1897192, 11.206, 69.0
1677130929.390254, 11.206, 69.25
1677130929.5907886, 11.206, 69.5
1677130929.791323, 11.206, 70.0
1677130929.991851, 11.206, 69.75
1677130930.1923697, 11.374, 70.25
1677130930.3929174, 11.374, 70.25
1677130930.593435, 11.374, 70.0
1677130930.7940001, 11.374, 70.0
1677130930.9945219, 11.374, 69.0
1677130931.1950521, 11.412, 69.25
1677130931.3955853, 11.412, 69.5
1677130931.5961108, 11.412, 69.0
1677130931.796642, 11.412, 69.0
1677130931.9971857, 11.412, 69.25
1677130932.197713, 10.76, 69.0
1677130932.398224, 10.76, 69.0
1677130932.5987666, 10.76, 69.0
1677130932.7993226, 10.76, 69.25
1677130932.999891, 10.943, 69.25
1677130933.200418, 10.943, 69.0
1677130933.4009304, 10.943, 69.75
1677130933.601479, 10.943, 70.0
1677130933.8021288, 10.943, 69.25
1677130934.002675, 10.92, 69.75
1677130934.2033207, 10.92, 69.75
1677130934.4038346, 10.92, 69.75
1677130934.6044118, 10.92, 70.0
1677130934.8049424, 10.92, 70.0
1677130935.0054612, 10.92, 70.25
1677130935.2060175, 11.363, 69.5
1677130935.4065695, 11.363, 69.75
1677130935.607236, 11.363, 69.25
1677130935.8077748, 11.363, 68.5
1677130936.0083327, 11.363, 70.0
1677130936.208849, 10.771, 70.0
1677130936.4093668, 10.771, 70.25
1677130936.609877, 10.771, 70.25
1677130936.8104143, 10.771, 70.25
1677130937.0109375, 10.771, 70.0
1677130937.2114463, 11.306, 70.25
1677130937.4119675, 11.306, 70.25
1677130937.6124907, 11.306, 70.0
1677130937.8130245, 11.306, 70.0
1677130938.0135517, 11.306, 70.0
1677130938.2140791, 11.306, 69.5
1677130938.4146192, 10.966, 69.5
1677130938.6152742, 10.966, 70.25
1677130938.81576, 10.966, 70.25
1677130939.016302, 10.966, 67.25
1677130939.2168357, 10.996, 69.5
1677130939.4173546, 10.996, 70.25
1677130939.6178813, 10.996, 70.0
1677130939.8184152, 10.996, 70.25
1677130940.0189323, 10.996, 69.75
1677130940.219459, 11.149, 70.25
1677130940.419965, 11.149, 70.25
1677130940.6205022, 11.149, 70.25
1677130940.8210454, 11.149, 70.25
1677130941.0215847, 11.149, 69.75
1677130941.2221014, 11.428, 70.25
1677130941.4226146, 11.428, 70.25
1677130941.6232438, 11.428, 70.25
1677130941.8237836, 11.428, 70.5
1677130942.0243077, 11.229, 71.0
1677130942.2248363, 11.229, 70.75
1677130942.4253652, 11.229, 70.25
1677130942.6258867, 11.229, 70.0
1677130942.8264115, 11.229, 70.0
1677130943.0269709, 11.298, 70.5
1677130943.2275116, 11.298, 71.0
1677130943.4280393, 11.298, 70.0
1677130943.6285694, 11.298, 71.0
1677130943.8290915, 11.298, 70.5
1677130944.0296102, 11.298, 70.25
1677130944.230135, 11.233, 70.0
1677130944.430677, 11.233, 70.25
1677130944.6313164, 11.233, 69.5
1677130944.8318512, 11.233, 70.25
1677130945.0323722, 11.233, 70.75
1677130945.2328806, 11.233, 70.25
1677130945.4334185, 11.214, 71.25
1677130945.633966, 11.214, 71.0
1677130945.834493, 11.214, 71.0
1677130946.0350485, 11.493, 70.5
1677130946.2355764, 11.493, 71.25
1677130946.436108, 11.493, 71.0
1677130946.6366405, 11.493, 71.0
1677130946.8371665, 11.493, 71.0
1677130947.037686, 11.493, 71.5
1677130947.2382197, 11.512, 71.25
1677130947.4387722, 11.512, 70.5
1677130947.6393685, 11.512, 71.0
1677130947.8399165, 11.512, 71.0
1677130948.040458, 11.477, 71.0
1677130948.2409887, 11.477, 71.75
1677130948.4415674, 11.477, 71.0
1677130948.6420972, 11.477, 71.75
1677130948.8426218, 11.477, 71.5
1677130949.0433028, 11.477, 71.0
1677130949.2438393, 11.474, 71.25
1677130949.4443874, 11.474, 71.25
1677130949.6449425, 11.474, 71.25
1677130949.8454695, 11.474, 71.0
1677130950.0460103, 11.531, 71.25
1677130950.246545, 11.531, 71.25
1677130950.447212, 11.531, 71.25
1677130950.647749, 11.531, 71.0
1677130950.8483102, 11.531, 70.75
1677130951.0488696, 11.344, 71.0
1677130951.2494159, 11.344, 72.0
1677130951.4499474, 11.344, 72.0
1677130951.650631, 11.344, 70.75
1677130951.8513255, 11.344, 71.0
1677130952.0518732, 11.21, 71.25
1677130952.2524147, 11.21, 71.25
1677130952.4529538, 11.21, 71.25
1677130952.6534925, 11.21, 70.75
1677130952.854027, 11.21, 71.25
1677130953.0545802, 10.886, 71.0
1677130953.2552636, 10.886, 71.25
1677130953.4560769, 10.886, 71.0
1677130953.656631, 10.886, 71.25
1677130953.8571732, 10.886, 71.25
1677130954.0577002, 10.886, 71.5
1677130954.258229, 10.886, 71.5
1677130954.458767, 11.577, 71.75
1677130954.6593184, 11.577, 71.5
1677130954.8598566, 11.577, 71.0
1677130955.0603871, 11.577, 71.75
1677130955.260937, 11.577, 70.5
1677130955.461508, 10.966, 71.5
1677130955.6620545, 10.966, 71.5
1677130955.8627365, 10.966, 71.0
1677130956.0634747, 10.859, 71.25
1677130956.2640266, 10.859, 72.0
1677130956.4645712, 10.859, 72.0
1677130956.6651103, 10.859, 72.0
1677130956.8656306, 10.859, 71.75
1677130957.066164, 11.271, 71.75
1677130957.2666917, 11.271, 72.25
1677130957.4672573, 11.271, 71.25
1677130957.6677845, 11.271, 72.0
1677130957.8683393, 11.271, 72.0
1677130958.068884, 11.141, 72.0
1677130958.2694106, 11.141, 71.5
1677130958.4699376, 11.141, 72.0
1677130958.6704729, 11.141, 71.5
1677130958.8710039, 11.141, 71.75
1677130959.071528, 11.405, 71.0
1677130959.2720442, 11.405, 71.5
1677130959.4725533, 11.405, 71.75
1677130959.6730828, 11.405, 71.5
1677130959.8736, 11.405, 71.25
1677130960.074127, 11.122, 71.25
1677130960.2746375, 11.122, 72.25
1677130960.4752924, 11.122, 71.5
1677130960.6758153, 11.122, 72.0
1677130960.876365, 11.122, 72.0
1677130961.0769022, 11.348, 72.0
1677130961.277433, 11.348, 72.25
1677130961.4779596, 11.348, 72.25
1677130961.678483, 11.348, 72.0
1677130961.8790154, 11.348, 72.0
1677130962.0795567, 11.363, 72.0
1677130962.2800553, 11.363, 72.75
1677130962.480573, 11.363, 72.0
1677130962.6811008, 11.363, 72.5
1677130962.8816621, 11.363, 72.25
1677130963.0821855, 11.512, 72.25
1677130963.282848, 11.512, 72.25
1677130963.4833777, 11.512, 72.5
1677130963.683905, 11.512, 72.25
1677130963.8844516, 11.512, 72.0
1677130964.0850015, 11.432, 72.25
1677130964.285506, 11.432, 73.0
1677130964.486022, 11.432, 72.25
1677130964.6865427, 11.432, 72.25
1677130964.8870656, 11.432, 72.25
1677130965.087617, 11.141, 71.5
1677130965.2880747, 11.141, 72.25
1677130965.4883895, 11.141, 73.0
1677130965.6887054, 11.141, 72.25
1677130965.8891313, 11.141, 72.25
1677130966.0896704, 11.527, 71.5
1677130966.290207, 11.527, 70.5
1677130966.4906414, 11.527, 72.25
1677130966.6910741, 11.527, 72.5
1677130966.891518, 11.527, 71.25
1677130967.0918298, 11.683, 72.25
1677130967.2922707, 11.683, 72.0
1677130967.4928079, 11.683, 72.25
1677130967.693229, 11.683, 72.25
1677130967.8936517, 11.683, 72.25
1677130968.0943248, 11.107, 72.25
1677130968.2948658, 11.107, 72.25
1677130968.4953542, 11.107, 72.25
1677130968.695895, 11.107, 72.25
1677130968.8963344, 11.107, 72.0
1677130969.0966356, 11.508, 72.25
1677130969.2970665, 11.508, 72.25
1677130969.4976308, 11.508, 72.0
1677130969.6981616, 11.508, 72.25
1677130969.898696, 11.508, 72.5
1677130970.0992682, 11.222, 71.5
1677130970.2998104, 11.222, 72.0
1677130970.500239, 11.222, 72.0
1677130970.7005858, 11.222, 72.25
1677130970.9010315, 11.222, 72.5
1677130971.1016498, 11.565, 72.0
1677130971.30238, 11.565, 72.25
1677130971.5029202, 11.565, 72.75
1677130971.7034771, 11.565, 73.0
1677130971.9040005, 11.565, 72.25
1677130972.1045382, 11.63, 73.0
1677130972.3050773, 11.63, 73.0
1677130972.5056028, 11.63, 73.0
1677130972.7061563, 11.63, 72.0
1677130972.9067037, 11.63, 72.25
1677130973.1072686, 10.958, 72.25
1677130973.307796, 10.958, 72.25
1677130973.5083306, 10.958, 72.0
1677130973.7088764, 10.958, 72.0
1677130973.9094038, 10.958, 71.5
1677130974.11007, 10.958, 71.0
1677130974.310623, 11.447, 72.0
1677130974.5112624, 11.447, 72.0
1677130974.711789, 11.447, 72.25
1677130974.912322, 11.447, 72.5
1677130975.1128464, 11.439, 72.25
1677130975.3133693, 11.439, 72.75
1677130975.5139306, 11.439, 72.5
1677130975.7145708, 11.439, 71.75
1677130975.915297, 11.439, 72.75
1677130976.115831, 11.477, 73.0
1677130976.3163497, 11.477, 72.5
1677130976.5168757, 11.477, 72.25
1677130976.7174294, 11.477, 72.5
1677130976.9179335, 11.477, 71.5
1677130977.118458, 10.874, 72.0
1677130977.3189692, 10.874, 72.25
1677130977.5194852, 10.874, 72.25
1677130977.7200177, 10.874, 72.5
1677130977.9205372, 10.874, 72.5
1677130978.1210525, 11.267, 71.5
1677130978.3215742, 11.267, 72.25
1677130978.522094, 11.267, 72.0
1677130978.7226036, 11.267, 72.25
1677130978.9232578, 11.267, 71.5
1677130979.1237614, 10.97, 72.0
1677130979.3242974, 10.97, 72.0
1677130979.5248055, 10.97, 71.75
1677130979.7253444, 10.97, 71.0
1677130979.925895, 10.97, 72.0
1677130980.1264238, 10.87, 70.5
1677130980.3269212, 10.87, 72.25
1677130980.5274436, 10.87, 72.5
1677130980.7279778, 10.87, 72.0
1677130980.9285283, 10.87, 73.0
1677130981.1290858, 11.39, 72.0
1677130981.3295898, 11.39, 73.0
1677130981.5301366, 11.39, 72.0
1677130981.7306483, 11.39, 72.25
1677130981.9313016, 11.39, 72.25
1677130982.1318245, 11.122, 72.25
1677130982.3323474, 11.122, 73.0
1677130982.5328913, 11.122, 72.75
1677130982.7345045, 11.122, 72.25
1677130982.9350476, 11.122, 72.25
1677130983.1355824, 11.355, 72.0
1677130983.336118, 11.355, 73.25
1677130983.536657, 11.355, 72.25
1677130983.7371805, 11.355, 72.5
1677130983.9377053, 11.355, 71.25
1677130984.1382444, 11.107, 71.75
1677130984.3387897, 11.107, 72.5
1677130984.539401, 11.107, 72.75
1677130984.739928, 11.107, 72.0
1677130984.940472, 11.107, 72.25
1677130985.1409798, 11.107, 72.25
1677130985.3414977, 11.607, 72.5
1677130985.5420172, 11.607, 71.5
1677130985.7425408, 11.607, 71.75
1677130985.9432259, 11.607, 72.25
1677130986.1437652, 11.069, 72.0
1677130986.3443065, 11.069, 72.5
1677130986.5448492, 11.069, 72.0
1677130986.7453883, 11.069, 72.25
1677130986.9459407, 11.069, 72.25
1677130987.1464703, 11.218, 71.25
1677130987.3469975, 11.218, 72.5
1677130987.5475252, 11.218, 72.0
1677130987.748025, 11.218, 72.5
1677130987.9485428, 11.218, 72.25
1677130988.1490407, 11.168, 72.0
1677130988.349563, 11.168, 72.0
1677130988.5500906, 11.168, 72.0
1677130988.7506142, 11.168, 72.25
1677130988.9512727, 11.168, 73.0
1677130989.1518044, 11.355, 73.0
1677130989.3523278, 11.355, 73.25
1677130989.552875, 11.355, 72.25
1677130989.753382, 11.355, 72.0
1677130989.9540842, 11.355, 72.5
1677130990.154611, 11.355, 72.5
1677130990.3553002, 11.298, 72.5
1677130990.5558083, 11.298, 72.75
1677130990.7563648, 11.298, 72.75
1677130990.9569218, 11.298, 73.0
1677130991.157474, 11.397, 71.25
1677130991.3579967, 11.397, 72.25
1677130991.5585396, 11.397, 72.5
1677130991.7592535, 11.397, 73.0
1677130991.9597938, 11.397, 72.5
1677130992.1603248, 11.691, 73.25
1677130992.3608575, 11.691, 73.5
1677130992.5614293, 11.691, 73.0
1677130992.7619693, 11.691, 72.75
1677130992.9625452, 11.691, 73.0
1677130993.1630704, 11.718, 73.0
1677130993.3637214, 11.718, 73.0
1677130993.5642562, 11.718, 72.75
1677130993.7648046, 11.718, 73.0
1677130993.9653301, 11.718, 72.75
1677130994.1658678, 11.718, 72.75
1677130994.3664055, 11.057, 72.75
1677130994.566926, 11.057, 72.75
1677130994.767453, 11.057, 73.0
1677130994.9679883, 11.057, 73.0
1677130995.1685607, 11.535, 72.5
1677130995.3690834, 11.535, 72.75
1677130995.5696208, 11.535, 73.0
1677130995.7701304, 11.535, 73.25
1677130995.970659, 11.535, 73.0
1677130996.1714146, 11.508, 73.25
1677130996.37196, 11.508, 73.25
1677130996.5725002, 11.508, 73.0
1677130996.7730265, 11.508, 72.5
1677130996.9735677, 10.916, 72.5
1677130997.1741269, 10.916, 73.25
1677130997.3746524, 10.916, 72.25
1677130997.5753164, 10.916, 72.25
1677130997.7758653, 10.916, 72.25
1677130997.9764116, 10.916, 72.75
1677130998.1769276, 11.294, 73.0
1677130998.3774338, 11.294, 72.25
1677130998.577922, 11.294, 72.25
1677130998.7784605, 11.294, 73.0
1677130998.978995, 11.294, 73.0
1677130999.1795352, 11.099, 72.0
1677130999.3800511, 11.099, 72.5
1677130999.5805998, 11.099, 72.5
1677130999.7811353, 11.099, 73.0
1677130999.981671, 11.099, 73.25
1677131000.1823483, 11.099, 73.25
1677131000.3828692, 11.157, 73.0
1677131000.5834196, 11.157, 73.0
1677131000.7839644, 11.157, 72.5
1677131000.9845243, 11.157, 73.0
1677131001.185054, 10.932, 73.0
1677131001.3855991, 10.932, 73.25
1677131001.586281, 10.932, 73.5
1677131001.7867975, 10.932, 73.0
1677131001.9873302, 10.974, 73.25
1677131002.187861, 10.974, 73.25
1677131002.388375, 10.974, 73.0
1677131002.5890439, 10.974, 73.0
