Time stamp,Power,avg_temp
1677365208.5517745, 0.0, 46.75
1677365208.7522066, 0.0, 49.5
1677365208.9525177, 0.0, 50.5
1677365209.1528194, 8.867, 51.5
1677365209.3532453, 8.867, 52.5
1677365209.5539436, 8.867, 52.0
1677365209.7543833, 8.867, 52.75
1677365209.9546678, 8.893, 53.0
1677365210.1549659, 8.893, 53.75
1677365210.3553317, 8.893, 54.0
1677365210.555848, 8.893, 54.5
1677365210.7563665, 8.893, 54.5
1677365210.95691, 9.027, 54.5
1677365211.1574197, 9.027, 55.0
1677365211.3579557, 9.027, 55.75
1677365211.5584826, 9.027, 55.75
1677365211.7590153, 9.027, 56.5
1677365211.9595447, 9.515, 56.0
1677365212.1600618, 9.515, 55.5
1677365212.3605874, 9.515, 56.0
1677365212.561119, 9.515, 56.75
1677365212.7616806, 8.931, 56.5
1677365212.9622018, 8.931, 57.0
1677365213.162906, 8.931, 57.0
1677365213.3632889, 8.931, 57.5
1677365213.5637066, 8.931, 58.25
1677365213.764291, 8.931, 58.0
1677365213.964824, 9.58, 58.5
1677365214.1653438, 9.58, 58.5
1677365214.3658788, 9.58, 58.25
1677365214.5665598, 9.58, 58.5
1677365214.7672276, 9.58, 58.25
1677365214.9677653, 9.367, 58.5
1677365215.1682734, 9.367, 58.75
1677365215.368805, 9.367, 58.75
1677365215.5693245, 9.367, 58.75
1677365215.7698617, 9.367, 58.0
1677365215.9703898, 9.168, 58.75
1677365216.170916, 9.168, 58.75
1677365216.3714328, 9.168, 59.25
1677365216.5719612, 9.168, 59.5
1677365216.7724702, 9.706, 58.75
1677365216.9729917, 9.706, 59.5
1677365217.1735175, 9.706, 59.75
1677365217.3740375, 9.706, 59.75
1677365217.5746949, 9.706, 60.0
1677365217.7752767, 9.607, 60.25
1677365217.9758031, 9.607, 60.0
1677365218.1763394, 9.607, 60.25
1677365218.3768766, 9.607, 59.75
1677365218.577406, 9.607, 60.25
1677365218.7779207, 9.607, 60.25
1677365218.9784565, 9.695, 60.0
1677365219.1789513, 9.695, 59.25
1677365219.3795128, 9.695, 59.5
1677365219.5800476, 9.695, 60.25
1677365219.78059, 9.695, 60.25
1677365219.9812818, 9.699, 60.25
1677365220.1818385, 9.699, 60.5
1677365220.3823857, 9.699, 60.0
1677365220.583011, 9.699, 59.75
1677365220.783752, 9.145, 60.5
1677365220.9842849, 9.145, 60.5
1677365221.18481, 9.145, 60.5
1677365221.3853457, 9.145, 60.5
1677365221.5859122, 9.145, 61.25
1677365221.786456, 9.145, 61.25
1677365221.987048, 9.634, 61.25
1677365222.1876807, 9.634, 61.5
1677365222.388248, 9.634, 60.75
1677365222.5887501, 9.634, 60.75
1677365222.7891595, 9.565, 61.0
1677365222.989729, 9.565, 61.75
1677365223.1903048, 9.565, 62.25
1677365223.3908422, 9.565, 61.0
1677365223.5913951, 9.565, 61.5
1677365223.7919288, 9.565, 60.75
1677365223.9925382, 9.802, 60.5
1677365224.1929955, 9.802, 62.25
1677365224.3935268, 9.802, 62.25
1677365224.5940304, 9.802, 62.25
1677365224.7946072, 9.744, 61.25
1677365224.9950132, 9.744, 61.25
1677365225.195537, 9.744, 59.75
1677365225.3960662, 9.744, 60.75
1677365225.596595, 9.744, 61.75
1677365225.7971106, 9.744, 61.25
1677365225.9976265, 9.744, 62.25
1677365226.1981633, 9.535, 61.25
1677365226.3988307, 9.535, 59.75
1677365226.5993488, 9.535, 61.25
1677365226.7998729, 9.042, 61.5
1677365227.0004091, 9.042, 60.75
1677365227.2009482, 9.042, 61.5
1677365227.401478, 9.042, 61.75
1677365227.6020043, 9.042, 60.75
1677365227.8025599, 9.302, 61.5
1677365228.0032318, 9.302, 62.25
1677365228.2037613, 9.302, 62.0
1677365228.404315, 9.302, 62.0
1677365228.6048338, 9.302, 62.5
1677365228.8053675, 9.302, 61.5
1677365229.0059159, 9.577, 61.75
1677365229.2064579, 9.577, 62.75
1677365229.407001, 9.577, 62.0
1677365229.6075609, 9.577, 61.25
1677365229.8081014, 9.878, 62.75
1677365230.0086327, 9.878, 62.25
1677365230.2091775, 9.878, 62.5
1677365230.4097095, 9.878, 62.5
1677365230.6102428, 9.878, 62.25
1677365230.810802, 9.462, 62.25
1677365231.0113125, 9.462, 61.5
1677365231.2118342, 9.462, 62.25
1677365231.4123635, 9.462, 63.25
1677365231.6129005, 9.462, 62.25
1677365231.8134377, 9.702, 61.5
1677365232.0139675, 9.702, 62.25
1677365232.2145088, 9.702, 62.5
1677365232.4150376, 9.702, 61.5
1677365232.615582, 9.702, 62.5
1677365232.8161094, 9.702, 63.0
1677365233.016656, 9.752, 62.75
1677365233.2171817, 9.752, 63.0
1677365233.417696, 9.752, 63.25
1677365233.6182332, 9.752, 63.25
1677365233.8187842, 9.645, 63.0
1677365234.0193403, 9.645, 62.5
1677365234.2198582, 9.645, 63.0
1677365234.4204047, 9.645, 63.0
1677365234.620929, 9.645, 62.75
1677365234.8214386, 9.542, 62.75
1677365235.021981, 9.542, 62.5
1677365235.2225091, 9.542, 63.5
1677365235.4230754, 9.542, 63.25
1677365235.6236513, 9.542, 63.5
1677365235.8241782, 9.729, 63.0
1677365236.024727, 9.729, 62.75
1677365236.2252579, 9.729, 63.25
1677365236.4257786, 9.729, 63.0
1677365236.6263087, 9.729, 63.25
1677365236.826817, 9.729, 63.25
1677365237.027334, 9.599, 63.5
1677365237.2278507, 9.599, 63.75
1677365237.4283714, 9.599, 62.5
1677365237.6288903, 9.599, 63.5
1677365237.829412, 9.47, 62.75
1677365238.0299451, 9.47, 64.0
1677365238.230493, 9.47, 63.25
1677365238.43102, 9.47, 63.25
1677365238.6315558, 9.47, 63.75
1677365238.832098, 9.939, 63.25
