Time stamp,Power,avg_temp
1677366344.0285754, 0.0, 47.774
1677366344.2288811, 0.0, 47.774
1677366344.4291723, 5.676, 47.774
1677366344.6294587, 5.676, 48.312
1677366344.829749, 5.676, 48.312
1677366345.0300925, 5.676, 48.85
1677366345.2304077, 5.676, 48.85
1677366345.4306939, 5.26, 48.85
1677366345.6309905, 5.26, 49.388
1677366345.831548, 5.26, 49.388
1677366346.0318341, 5.26, 49.388
1677366346.2321236, 5.26, 49.388
1677366346.4324348, 5.206, 49.388
1677366346.6327307, 5.206, 49.388
1677366346.8330548, 5.206, 49.388
1677366347.0333664, 5.206, 49.388
1677366347.2336483, 5.206, 49.926
1677366347.434029, 5.138, 49.926
1677366347.6343274, 5.138, 49.926
1677366347.8346148, 5.138, 49.926
1677366348.0349045, 5.138, 49.926
1677366348.2352057, 5.138, 49.926
1677366348.4354963, 5.176, 50.464
1677366348.6357822, 5.176, 49.926
1677366348.8360965, 5.176, 49.926
1677366349.0364382, 5.176, 50.464
1677366349.2368472, 5.176, 50.464
1677366349.437168, 5.195, 50.464
1677366349.6374671, 5.195, 50.464
1677366349.8377593, 5.195, 51.002
1677366350.0380797, 5.195, 50.464
1677366350.2383635, 5.195, 50.464
1677366350.438677, 5.237, 50.464
1677366350.6389718, 5.237, 51.54
1677366350.8392677, 5.237, 51.002
1677366351.0395684, 5.237, 50.464
1677366351.2398582, 5.237, 50.464
1677366351.4401443, 5.294, 51.002
1677366351.640454, 5.294, 51.002
1677366351.8407435, 5.294, 50.464
1677366352.0410266, 5.294, 50.464
1677366352.2413204, 5.294, 50.464
1677366352.4416504, 5.298, 51.002
1677366352.6419399, 5.298, 51.54
1677366352.8422403, 5.298, 50.464
1677366353.0425386, 5.298, 50.464
1677366353.242823, 5.298, 51.54
1677366353.4431608, 5.244, 51.002
1677366353.6435099, 5.244, 51.002
1677366353.8438292, 5.244, 51.54
1677366354.0441396, 5.244, 51.54
1677366354.2444272, 5.244, 51.54
1677366354.4447277, 5.244, 51.54
1677366354.6450212, 5.149, 51.54
1677366354.8453205, 5.149, 50.464
1677366355.0456235, 5.149, 51.54
1677366355.2459364, 5.149, 51.54
1677366355.4462383, 5.309, 50.464
1677366355.6465478, 5.309, 51.54
1677366355.846839, 5.309, 51.002
1677366356.0471227, 5.309, 51.54
1677366356.2474236, 5.309, 51.54
1677366356.447702, 5.309, 51.54
1677366356.6479783, 5.294, 52.078
1677366356.8483033, 5.294, 51.54
1677366357.048618, 5.294, 51.54
1677366357.2489157, 5.294, 51.54
1677366357.4492295, 5.179, 51.54
1677366357.6495645, 5.179, 51.54
1677366357.849859, 5.179, 51.54
1677366358.0501583, 5.179, 51.54
1677366358.2504716, 5.179, 52.078
1677366358.4507577, 5.164, 51.54
1677366358.6510448, 5.164, 52.078
1677366358.8513467, 5.164, 51.54
1677366359.051635, 5.164, 51.54
1677366359.2519474, 5.164, 51.54
1677366359.4522595, 5.195, 52.078
1677366359.6525543, 5.195, 51.54
1677366359.8528636, 5.195, 51.54
1677366360.0531876, 5.195, 51.54
1677366360.2534804, 5.195, 51.54
1677366360.4537904, 5.294, 51.54
1677366360.6540716, 5.294, 52.078
1677366360.8543673, 5.294, 52.616
1677366361.054983, 5.294, 51.54
1677366361.2552752, 5.294, 51.54
1677366361.4555764, 5.252, 51.54
1677366361.6558537, 5.252, 52.078
1677366361.856153, 5.252, 52.078
1677366362.0564332, 5.252, 51.54
1677366362.256745, 5.252, 52.078
1677366362.4570608, 5.233, 52.078
1677366362.6573699, 5.233, 52.078
1677366362.8576796, 5.233, 52.078
1677366363.057962, 5.233, 51.54
1677366363.258345, 5.233, 51.54
1677366363.4586499, 5.271, 52.078
1677366363.6589308, 5.271, 51.54
1677366363.8592126, 5.271, 52.078
1677366364.0595305, 5.271, 52.078
1677366364.2598305, 5.271, 52.078
1677366364.4601202, 5.244, 52.616
1677366364.6604009, 5.244, 52.078
1677366364.860721, 5.244, 52.616
1677366365.061037, 5.244, 52.078
1677366365.2613268, 5.244, 52.078
1677366365.4616137, 5.16, 52.616
1677366365.661923, 5.16, 52.078
1677366365.8620965, 5.16, 51.54
1677366366.0623746, 5.16, 52.078
